Timestamp,What is your primary role within the company?,How many years of professional software development experience do you have?,Which programming languages do you regularly use for development? (Select all that apply),"For the programming languages you selected above, which associated build tools, package managers, or frameworks do you regularly use?",Which Integrated Development Environments (IDEs) or code editors do you primarily use for development? (Select all that apply),How familiar are you with Artificial Intelligence (AI) technologies in general?,"Have you used any AI-powered tools or services to aid your work? (e.g., ChatGPT, Copilot for general tasks, other generative AI models).","If ""Yes"" to the previous question, which general AI tools have you used in your development workflow? (e.g., ChatGPT, Copilot for general tasks, other generative AI models). Please specify how you use them.",What tasks do you primarily use general AI tools for? (Select all that apply),AI tools significantly improve my productivity.,AI tools help me write higher quality code.,I trust the output generated by AI tools.,I am concerned about data privacy when using AI tools for work.,"Are you currently using an AI-powered IDE or an IDE with integrated AI coding assistants (e.g., Cursor, GitHub Copilot, others)?",Which AI-powered IDE(s) or integrated AI assistant(s) do you use? (Select all that apply),"""Ask"" mode (Natural language queries for code, explanations)","""Edit"" mode (AI-assisted refactoring, bug fixing, code modification)","""Agent"" mode (AI autonomously performs tasks based on high-level instructions)",Generating unit tests,Generating code comments/documentation,AI-powered IDEs/assistants make me more productive.,AI-powered IDEs/assistants help me learn new APIs/libraries faster.,The code generated by AI-powered IDEs/assistants is generally high quality.,The code generated by AI-powered IDEs/assistants is generally high quality.,I spend less time searching for solutions online when using an AI-powered IDE/assistant.,I find myself relying too much on AI-powered IDEs/assistants.,The AI features integrate seamlessly with my existing workflow.,I am concerned about the security of my code/data when using cloud-based AI IDEs/assistants.,What are the biggest challenges or frustrations you face when using AI-powered IDEs/assistants?,Do you have any other comments or suggestions regarding the use of AI tools or AI-powered IDEs in our company?,What are the primary reasons you are NOT using an AI-powered IDE or integrated AI assistant? (Select all that apply),Do you have any other comments or suggestions regarding the use of AI tools or AI-powered IDEs in our company?,"Which general AI tools have you used in your development workflow? (e.g., ChatGPT, Copilot for general tasks, other generative AI models)."
6/18/2025 8:13:02,Data Scientist / AI / Machine Learning Engineer,1-3 years,Python,.Net,"VS Code, Visual Studio",Very familiar,Yes,Code,"Generating code snippets, Explaining code, Debugging assistance, Writing documentation/comments, Refactoring code, Learning new concepts/technologies, Brainstorming ideas",4,3,2,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,1,2,3,4,3,3,3,3,4,3,3,2,Needs more context to get it right,No,Worried about code quality/correctness,No,
6/20/2025 9:57:21,QA Engineer / Tester,More than 10 years,"JavaScript, Python",Postman,"VS Code, PyCharm",Slightly familiar,Yes,,"Generating code snippets, Learning new concepts/technologies, Brainstorming ideas, Summarizing content",3,1,2,2,No,,,,,,,,,,,,,,,,,Not familiar with them,,"ChatGpt, LuzIA, perplexity"
6/20/2025 10:14:25,Full-stack Developer,More than 10 years,"Java, JavaScript, TypeScript, Python","Springboot, Maven, Graddle, Nodejs, Typescript, React, Vuejs, FastAPI, Flask  ","VS Code, IntelliJ IDEA",Very familiar,Yes,,"Generating code snippets, Explaining code, Writing documentation/comments, Refactoring code, Learning new concepts/technologies, Brainstorming ideas, Summarizing content",4,4,1,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,2,3,3,4,4,2,,4,2,2,3,hallucinations and having to write too specifically to transmit my intent,I believe we should promote code quality gateway tools and automated integration testing tools,,,"ChatGPT, Gemini, DeepSeek, Copilot"
6/20/2025 10:25:28,Data Scientist / AI / Machine Learning Engineer,Less than 1 year,Python,uv,VS Code,Very familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance, Writing documentation/comments, Learning new concepts/technologies, Summarizing content, Proofreading (grammar, spelling)",4,4,2,4,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",4,3,2,1,4,4,4,3,,4,2,3,3,"Sometimes I cannot give it some information that it needs to understand the problem. Other times, it forgets previous errors or requests so it does what I asked for only half way.",There should be a short manual on what can be done with them (given privacy rules and such. I feel like I would be using more AI tools if I knew exactly when it is okay and when it is not okay to use them),,,"Chatgpt, Copilot"
6/20/2025 11:10:36,Data Scientist / AI / Machine Learning Engineer,Less than 1 year,"JavaScript, TypeScript, Python","Poetry, npm, Next.JS, Node.JS",VS Code,Very familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance, Writing documentation/comments, Learning new concepts/technologies, Brainstorming ideas, Proofreading (grammar, spelling)",4,4,3,4,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,4,2,2,4,4,4,2,,4,3,4,4,Constantly having to correct the code they generate.,,,,"ChatGPT, Copilot, Gemini"
6/20/2025 14:50:54,Software Developer (Frontend),More than 10 years,"JavaScript, TypeScript","Vite, Webpack, Turbopack, npm, yarn, , Next js / React js",VS Code,Slightly familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance, Refactoring code, Brainstorming ideas",3,3,2,2,No,,,,,,,,,,,,,,,,,"Cost/Licensing concerns, My current IDE/tools are sufficient",Yes we should have workshops or Knowledge sessions on using AI to improve productivity.,ChatGPT
6/20/2025 15:46:16,Software Developer (Backend),More than 10 years,"JavaScript, TypeScript, Bash","Nodejs with NPM, AWS CLI, AWS CDK, AWS Node SDK clients",VS Code,Very familiar,Yes,,"Generating code snippets, Explaining code, Writing documentation/comments, Refactoring code, Learning new concepts/technologies",2,2,1,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,2,2,3,3,3,2,2,,3,2,3,3,"Inconsistencies generating code, for example sometimes it could generate outdated code not using the latest packages/libraries available, but in agent mode giving the full files and project context and more instructions it can write almost perfect code","1. Would be good to do company workshops or meetings and to know how other developers are using AI tools
2. What should we be concerned in terms of privacy when using Cloud-based AI tools?",,,"GitHub Copilot, ChatGPT"
6/21/2025 21:10:20,Director of Software Dev,More than 10 years,"Java, C#, JavaScript","Maven, Nugets, Springboot, .NET MVC","IntelliJ IDEA, Visual Studio",Slightly familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance, Writing documentation/comments, Generating code from PRD",3,2,2,2,Yes,Cursor,2,2,2,2,2,3,2,2,,2,2,2,1,"Not spending enough time defining the specific requirements, generating specific PRDs, integrating with Maven and other tools, Cursor doesn't relate well with Java or C#",,,,"ChatGPT, Cursor"
6/23/2025 7:11:06,Software Developer (Backend),4-6 years,"JavaScript, TypeScript","node, npm","VS Code, NeoVim",Slightly familiar,Yes,,"Writing documentation/comments, Brainstorming ideas, Summarizing content, Proofreading (grammar, spelling)",1,1,1,4,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,1,1,1,3,2,3,1,,2,1,1,3,"lack of context and computing power, it ends up being slow and useless whatever they generate, however it helps as an ""autocomplete"" feature when the pattern can be detected in the same file",,,,"copilot, claude"
6/23/2025 7:51:21,Data Scientist / AI / Machine Learning Engineer,7-10 years,"JavaScript, TypeScript","Vite, esbuild, npm, yarn, React, Node.js",VS Code,Very familiar,Yes,,"Generating code snippets, Explaining code, Refactoring code, Learning new concepts/technologies, Brainstorming ideas",3,3,3,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,3,2,2,3,4,3,,3,2,3,3," It may not understand existing architecture, previous functions, or naming conventions across files, leading to inconsistent or irrelevant suggestions.","Promote a “learning-first” culture, use AI output as a learning prompt, not just a shortcut.",,,ChatGPT and Copilot 
